"Trends in arrest rates by race for Driving under the influence (rates are per 100,000 in age group)"
"Age: All ages"
"Years","All races","White","Black","American Indian","Asian",
"1980","627.9","636.4","600.6","1,206.2","167.3",
"1981","667.4","682.9","605.3","1,122.5","184.2",
"1982","767.7","788.7","685.3","1,211.0","204.4",
"1983","821.7","851.9","701.4","1,159.3","170.3",
"1984","754.5","785.8","625.0","1,011.8","173.4",
"1985","751.7","784.9","598.9","1,186.6","198.1",
"1986","746.8","781.6","601.2","1,099.5","163.5",
"1987","712.9","746.2","572.5","1,083.8","177.5",
"1988","733.1","766.4","603.8","1,068.0","190.4",
"1989","703.4","750.1","505.7","935.3","117.2",
"1990","725.4","776.3","498.2","985.0","165.6",
"1991","700.2","746.6","502.2","995.4","165.6",
"1992","633.3","665.3","515.8","1,018.1","163.9",
"1993","586.6","615.2","488.5","929.4","160.4",
"1994","526.2","551.1","441.4","843.3","161.3",
"1995","539.3","564.0","453.2","934.4","176.1",
"1996","544.7","573.6","427.7","996.7","189.6",
"1997","541.8","575.9","419.8","884.4","132.4",
"1998","508.5","538.3","408.7","747.1","155.8",
"1999","541.6","577.0","423.9","804.8","136.9",
"2000","521.4","562.1","384.1","722.4","107.2",
"2001","503.5","543.4","376.1","643.9","105.3",
"2002","508.2","547.8","384.9","701.1","106.4",
"2003","499.2","541.3","365.8","643.1","107.2",
"2004","489.5","534.9","339.3","596.0","110.9",
"2005","464.2","509.8","313.3","546.5","104.6",
"2006","489.5","538.7","333.3","519.0","111.3",
"2007","473.9","521.9","324.6","497.5","110.6",
"2008","487.8","533.6","359.6","502.4","119.3",
"2009","469.5","509.6","377.1","461.2","113.2",
"2010","456.6","492.4","384.3","428.5","127.2",
"2011","390.0","418.3","339.6","416.7","108.8",
"2012","408.8","436.1","357.8","399.2","159.1",
"2013","369.3","394.1","333.3","366.1","122.8",
"2014","351.2","373.5","327.7","348.3","116.1",
"2015","339.7","357.8","320.3","463.4","126.0",
"2016","315.2","331.0","306.8","405.1","117.2",
"2017","304.8","319.2","302.5","446.4","104.7",
"2018","306.5","319.5","320.0","377.5","107.2",
"2019","312.1","327.4","309.0","409.7","119.2",


"Internet citation: OJJDP Statistical Briefing Book. Trends in arrest rates by race for Driving under the influence (rates are per 100,000 in age group). Available: https://www.ojjdp.gov/ojstatbb/crime/ucr_trend.asp?table_in=2. Released onNovember 16, 2020."
"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
