"Trends in arrest rates by race for Drug abuse violations (rates are per 100,000 in age group)"
"Age: All ages"
"Years","All races","White","Black","American Indian","Asian",
"1980","255.7","225.8","504.9","178.9","64.8",
"1981","244.0","210.6","517.5","155.1","71.8",
"1982","291.8","248.7","643.3","182.1","79.2",
"1983","282.9","232.8","683.0","163.2","84.8",
"1984","300.4","245.1","743.4","181.9","70.3",
"1985","341.0","276.0","858.1","215.8","86.5",
"1986","343.2","267.2","944.6","197.5","61.6",
"1987","386.9","295.0","1,109.6","202.0","67.0",
"1988","472.5","337.8","1,509.3","242.3","82.1",
"1989","551.7","384.1","1,846.4","227.3","49.0",
"1990","436.5","306.2","1,435.6","182.9","61.7",
"1991","399.2","275.4","1,337.8","167.4","64.2",
"1992","415.7","292.3","1,348.5","191.5","66.9",
"1993","433.3","312.1","1,351.0","212.4","65.8",
"1994","513.6","382.3","1,514.1","250.8","80.8",
"1995","554.3","413.0","1,625.7","291.5","87.9",
"1996","559.1","419.7","1,614.3","310.4","93.4",
"1997","580.8","440.4","1,643.3","331.5","103.0",
"1998","565.2","426.0","1,616.4","304.4","91.1",
"1999","549.1","422.8","1,511.5","311.2","86.8",
"2000","559.8","436.3","1,508.1","304.9","89.8",
"2001","556.9","436.8","1,482.9","284.8","93.3",
"2002","535.0","426.8","1,377.2","297.3","90.9",
"2003","578.5","466.8","1,458.2","320.7","95.0",
"2004","596.5","482.5","1,501.0","320.5","87.8",
"2005","624.8","505.0","1,572.6","345.9","92.4",
"2006","633.4","503.9","1,646.5","319.1","89.5",
"2007","611.2","488.8","1,573.1","310.0","84.6",
"2008","559.9","450.3","1,425.4","275.5","77.5",
"2009","542.3","444.4","1,330.9","266.5","74.9",
"2010","529.8","445.1","1,231.8","263.1","81.1",
"2011","491.5","415.2","1,127.5","253.1","77.3",
"2012","494.7","419.6","1,116.3","252.9","98.9",
"2013","475.0","408.1","1,040.7","266.8","93.8",
"2014","490.5","429.2","1,028.6","292.3","97.3",
"2015","464.3","418.6","898.6","335.9","94.2",
"2016","487.0","441.8","928.5","348.6","98.2",
"2017","502.5","453.4","968.2","415.3","99.1",
"2018","506.4","459.1","966.8","400.6","97.9",
"2019","474.9","435.1","873.3","436.6","98.2",


"Internet citation: OJJDP Statistical Briefing Book. Trends in arrest rates by race for Drug abuse violations (rates are per 100,000 in age group). Available: https://www.ojjdp.gov/ojstatbb/crime/ucr_trend.asp?table_in=2. Released onNovember 16, 2020."
"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
