"Trends in arrest rates by race for Drunkenness (rates are per 100,000 in age group)"
"Age: All ages"
"Years","All races","White","Black","American Indian","Asian",
"1980","495.5","471.4","644.8","2,184.2","48.2",
"1981","503.5","485.2","629.3","1,932.5","43.4",
"1982","544.8","526.3","692.7","1,781.0","43.2",
"1983","477.0","455.3","650.8","1,506.6","39.3",
"1984","488.6","466.6","670.2","1,500.6","34.6",
"1985","405.5","384.9","569.4","1,325.1","31.4",
"1986","388.9","366.9","560.3","1,306.6","33.3",
"1987","341.9","320.9","501.4","1,205.3","30.4",
"1988","334.8","316.9","477.9","1,113.6","29.6",
"1989","333.2","317.6","467.3","1,013.2","30.9",
"1990","364.6","345.5","536.9","974.5","28.8",
"1991","348.3","337.9","462.1","896.0","29.5",
"1992","324.5","313.5","441.6","819.3","26.8",
"1993","279.5","270.3","378.2","732.8","24.9",
"1994","271.0","265.0","347.6","705.8","25.2",
"1995","265.9","261.2","331.7","729.3","25.4",
"1996","266.8","263.6","324.9","700.6","27.2",
"1997","269.5","265.4","336.9","683.3","29.0",
"1998","257.5","259.0","289.7","644.3","25.0",
"1999","235.1","237.3","258.9","594.5","24.8",
"2000","226.0","231.7","232.6","494.7","25.5",
"2001","217.1","223.8","218.0","475.3","23.9",
"2002","199.1","204.4","207.3","432.0","21.9",
"2003","189.1","194.9","191.8","424.4","22.5",
"2004","188.8","195.9","192.4","343.6","19.9",
"2005","188.2","195.8","188.2","357.3","21.0",
"2006","185.4","194.4","183.6","287.7","20.7",
"2007","195.7","204.6","199.6","303.2","20.9",
"2008","200.9","208.4","219.0","285.5","20.8",
"2009","193.7","201.2","212.5","258.0","21.2",
"2010","181.3","187.7","201.2","253.1","21.3",
"2011","171.5","176.9","194.6","240.8","22.0",
"2012","162.9","167.8","185.8","209.5","29.8",
"2013","140.4","144.0","161.4","206.5","26.7",
"2014","130.3","134.1","147.6","196.4","26.4",
"2015","126.6","123.4","129.3","727.4","22.8",
"2016","116.6","113.9","122.1","626.3","21.4",
"2017","112.9","106.9","114.4","833.1","20.5",
"2018","100.6","99.2","106.9","480.7","19.9",
"2019","96.3","93.6","100.3","552.3","18.6",


"Internet citation: OJJDP Statistical Briefing Book. Trends in arrest rates by race for Drunkenness (rates are per 100,000 in age group). Available: https://www.ojjdp.gov/ojstatbb/crime/ucr_trend.asp?table_in=2. Released onNovember 16, 2020."
"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
